,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
409,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PE,[-33.02689507  -6.84286609]
410,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PI,[-42.37297869  -4.29303904]
411,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PR,[-48.91070519 -24.45914414]
412,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,RJ,[-42.7538922  -20.95841656]
413,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,RN,[-36.31275834  -5.65479569]
414,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SC,[-49.58771967 -26.881631  ]
415,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SE,[-36.01570306  -8.64346237]
416,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,SP,[-45.43985292 -20.23495417]
417,1075,Fauna,Peixes Marinhos,Tripterygiidae,Enneanectes smithi,Desconhecido,Vulnerável (VU),VU,Marinho,Mudanca Na Dinamica Das Especies Nativas; Poluição,Sim,Não,Sim,2.0,Não,PE,PE,[-34.88064617  -5.61563457]
418,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,AL,[-36.10972244  -8.20595485]
419,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,AP,[-52.50517219   1.56148243]
