,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y
10,70,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla itacolomiensis,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS
11,71,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla lata,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Poluição; Queimadas,Não,Sim,Não,1.0,Sim,PR,PR
12,72,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leachi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,SC,SC
13,73,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptochela,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Especies Exoticas; Mineracao; Outras Atividades Econômicas:Turismo,Não,Não,Não,1.0,Sim,SP,SP
14,74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS; SC,RS
15,74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS; SC,SC
16,75,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla ligulata,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Poluição,Sim,Sim,Não,2.0,Sim,RS,RS
17,76,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla manuinflata,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS
18,77,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla microphthalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Especies Exoticas; Mineracao,Sim,Não,Não,2.0,Sim,SP,SP
19,78,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla oblata,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia; Poluição,Não,Sim,Não,1.0,Sim,SC,SC
20,79,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla obstipa,Egla,Em Perigo (EN),EN,Pampa,Agropecuária; Poluição; Poluição Assoreamento,Não,Não,Não,0.0,Sim,RS,RS
21,80,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla perobae,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Poluição,Sim,Sim,Não,2.0,Sim,SP,SP
22,81,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla plana,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS,RS
23,82,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla pomerana,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Turismo,Não,Sim,Não,1.0,Sim,SC,SC
24,83,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla renana,Egla,Criticamente em Perigo (CR),CR,Pampa,Poluição,Sim,Sim,Não,1.0,Sim,RS,RS
25,84,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla rossiana,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Assentamento Humano:cidades,Sim,Sim,Não,1.0,Sim,RS; SC,RS
26,84,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla rossiana,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Assentamento Humano:cidades,Sim,Sim,Não,1.0,Sim,RS; SC,SC
27,85,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinipalma,Egla,Vulnerável (VU),VU,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS
28,86,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinosa,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,RS
29,86,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinosa,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,SC
